time_s,roll_deg,pitch_deg,yaw_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps
9.374320983886719,0.746,1.298,-166.191,-0.122,0.244,1.953
9.37927794456482,0.746,1.299,-166.188,-0.244,0.244,1.953
9.384366989135742,0.744,1.3,-166.184,-0.488,0.183,1.953
9.389364957809448,0.742,1.3,-166.182,-0.61,0.183,1.831
9.394378900527954,0.741,1.3,-166.179,-0.61,0.244,1.831
9.39926290512085,0.739,1.299,-166.176,-0.549,0.244,1.892
9.404354095458984,0.739,1.299,-166.174,-0.305,0.244,1.892
9.40944504737854,0.739,1.298,-166.171,-0.183,0.244,1.953
9.414258003234863,0.739,1.298,-166.168,-0.122,0.305,1.953
9.419280052185059,0.74,1.297,-166.165,-0.122,0.305,1.953
9.424340009689331,0.739,1.297,-166.162,-0.366,0.305,1.831
9.42928409576416,0.738,1.297,-166.16,-0.488,0.183,1.892
9.434280157089233,0.737,1.297,-166.157,-0.549,0.183,1.892
9.439443111419678,0.735,1.297,-166.155,-0.549,0.183,1.953
9.444375038146973,0.735,1.296,-166.153,-0.427,0.305,1.77
9.449284076690674,0.735,1.295,-166.152,-0.366,0.305,1.892
9.45438003540039,0.736,1.294,-166.15,-0.244,0.244,1.953
9.459370851516724,0.737,1.294,-166.148,-0.122,0.183,1.953
9.464368104934692,0.738,1.293,-166.147,-0.183,0.305,1.892
9.469343900680542,0.737,1.293,-166.146,-0.427,0.244,1.892
9.474342107772827,0.737,1.293,-166.145,-0.427,0.244,1.892
9.479387998580933,0.736,1.293,-166.143,-0.427,0.183,1.892
9.484358072280884,0.736,1.293,-166.142,-0.488,0.183,1.892
9.489300012588501,0.735,1.292,-166.141,-0.488,0.183,1.892
9.494345903396606,0.735,1.291,-166.14,-0.427,0.244,1.831
9.499341011047363,0.735,1.291,-166.138,-0.427,0.244,1.831
9.504328966140747,0.735,1.291,-166.136,-0.305,0.244,1.892
9.509345054626465,0.735,1.291,-166.134,-0.244,0.183,1.892
9.514328956604004,0.736,1.291,-166.131,-0.244,0.244,1.953
9.519337892532349,0.735,1.291,-166.129,-0.366,0.183,1.892
9.524313926696777,0.734,1.291,-166.127,-0.488,0.183,1.831
9.529340028762817,0.733,1.291,-166.125,-0.488,0.244,1.831
9.534389972686768,0.732,1.29,-166.123,-0.488,0.244,1.831
9.539281129837036,0.732,1.289,-166.121,-0.427,0.244,1.831
9.544323921203613,0.731,1.29,-166.12,-0.366,0.183,1.831
9.549405097961426,0.731,1.29,-166.118,-0.244,0.183,1.831
9.554309129714966,0.731,1.289,-166.116,-0.244,0.244,1.892
9.559278964996338,0.732,1.289,-166.114,-0.244,0.244,1.892
9.564288854598999,0.731,1.289,-166.112,-0.427,0.244,1.831
9.569267988204956,0.731,1.289,-166.111,-0.427,0.183,1.831
9.574261903762817,0.73,1.289,-166.109,-0.488,0.183,1.831
9.57925295829773,0.73,1.29,-166.108,-0.366,0.183,1.831
9.584300994873047,0.73,1.289,-166.106,-0.366,0.305,1.831
9.589273929595947,0.731,1.289,-166.105,-0.366,0.244,1.831
9.593920946121216,0.731,1.288,-166.104,-0.305,0.244,1.831
9.599321126937866,0.731,1.287,-166.102,-0.305,0.244,1.831
9.603480100631714,0.731,1.287,-166.101,-0.366,0.244,1.892
9.608446836471558,0.731,1.287,-166.1,-0.427,0.244,1.892
9.613534212112427,0.731,1.286,-166.098,-0.427,0.244,1.892
9.618507862091064,0.731,1.286,-166.097,-0.366,0.244,1.892
